policy,regime,mad,mad_ci_lo,mad_ci_hi,max_spike,max_spike_ci_lo,max_spike_ci_hi,tolerance_pass,value_gap_pct_vs_conformal
conformal_aci,stationary,0.01820,0.01610,0.02293,0.08750,0.10000,0.90000,True,
conformal_aci,burst,0.01410,0.01402,0.01991,0.06529,0.10000,0.90000,True,
conformal_aci,drift,0.01688,0.01693,0.02354,0.09048,0.10000,0.90000,True,
conformal_aci,switch,0.01935,0.01826,0.02707,0.09512,0.10000,0.90000,True,
conformal_aci,adversarial,0.01502,0.01431,0.02009,0.07333,0.10000,0.90000,True,
fixed_threshold,stationary,0.02499,0.01991,0.02735,0.08750,0.10000,0.90000,True,2.9680965588598656
fixed_threshold,burst,0.02710,0.02286,0.03361,0.08305,0.10000,0.90000,True,
fixed_threshold,drift,0.03316,0.02470,0.03588,0.11930,0.10000,0.90000,False,
fixed_threshold,switch,0.04259,0.03172,0.04561,0.14000,0.10536,0.90000,False,
fixed_threshold,adversarial,0.03306,0.02744,0.03852,0.09099,0.10000,0.90000,False,
index_based,stationary,0.10291,0.09361,0.11258,0.20159,0.17225,0.90000,False,-46276.29718745851
index_based,burst,0.08226,0.07463,0.09181,0.15000,0.14862,0.90000,False,
index_based,drift,0.10989,0.09536,0.12161,0.36154,0.22222,0.90000,False,
index_based,switch,0.12905,0.09035,0.15105,0.70000,0.47143,0.90000,False,
index_based,adversarial,0.07588,0.06898,0.08600,0.17895,0.14615,0.90000,False,
rl_frozen,stationary,0.02342,0.01907,0.02815,0.13077,0.10000,0.90000,True,-6.732987396044815
rl_frozen,burst,0.03381,0.02733,0.04184,0.12222,0.10000,0.90000,False,
rl_frozen,drift,0.04202,0.02841,0.04337,0.10000,0.10000,0.90000,False,
rl_frozen,switch,0.05585,0.03920,0.05944,0.15714,0.11212,0.90000,False,
rl_frozen,adversarial,0.03501,0.02893,0.04403,0.15325,0.10126,0.90000,False,
oracle_hindsight,stationary,0.02125,0.01733,0.02401,0.07797,0.10000,0.90000,True,7.913313098255418
oracle_hindsight,burst,0.01945,0.01720,0.02508,0.09328,0.10000,0.90000,True,
oracle_hindsight,drift,0.02114,0.01921,0.02813,0.09355,0.10000,0.90000,True,
oracle_hindsight,switch,0.01897,0.01817,0.02600,0.08571,0.10000,0.90000,True,
oracle_hindsight,adversarial,0.01949,0.01657,0.02304,0.08310,0.10000,0.90000,True,
